KEY_CODE,HYOSYO,PARENT,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,POP,MALE,FEMALE,HOUSEHOLD,ken,BaseArea,DiffArea
"143820170","2","14382",足柄下郡箱根町,芦之湯,"0",,,"55","26","29","29","14",1714945.112,647825.525
"143630040","2","14363",足柄上郡松田町,寄,"0",,,"2066","1018","1048","773","14",27030083.126,26818397.495
"141070770","2","14107",横浜市磯子区,水面,"0",,,"0","0","0","0","14",5122921.963,1070720.419
"14361002003","3","143610020",足柄上郡中井町,松本松本上,"0",,,"318","121","197","64","14",2187281.331,2093765.474
"14204002003","3","142040020",鎌倉市,浄明寺３丁目,"0",,,"652","288","364","262","14",155198.705,97922.698
"14151010001","3","141510100",相模原市緑区,大島,"0",,,"679","344","335","240","14",1060738.218,37170.795
"142170030","2","14217",南足柄市,苅野,"0",,,"432","215","217","144","14",9087072.119,9052961.012
"141510430","2","14151",相模原市緑区,吉野,"0",,,"1170","581","589","433","14",5340355.030,2430940.288
"143830020","2","14383",足柄下郡真鶴町,岩,"0",,,"2516","1181","1335","1024","14",4612824.728,2573386.350
"143620040","2","14362",足柄上郡大井町,篠窪,"0",,,"185","83","102","66","14",1690817.245,835165.587
"142110480","2","14211",秦野市,横野,"0",,,"616","302","314","217","14",1402636.010,130878.473
"142030954","2","14203",平塚市,万田,"0",,,"5401","2728","2673","2227","14",1206928.780,138593.505
"142061200","2","14206",小田原市,米神,"0",,,"341","159","182","122","14",1461983.387,1461983.387
"142040010","2","14204",鎌倉市,十二所,"0",,,"1348","644","704","551","14",2725671.557,29724.083
"142120940","2","14212",厚木市,森の里青山,"0",,,"40","24","16","1","14",451759.373,115313.736
"14201053004","3","142010530",横須賀市,平作４丁目,"0",,,"204","103","101","87","14",628827.486,96.865
"14342007002","3","143420070",中郡二宮町,川匂,"0",,,"370","165","205","141","14",397429.237,145277.210
"14342007001","3","143420070",中郡二宮町,川匂,"0",,,"236","109","127","80","14",120512.728,120512.728
"142110430","2","14211",秦野市,東田原,"0",,,"5886","2925","2961","2354","14",2814098.277,46562.535
"14204002004","3","142040020",鎌倉市,浄明寺４丁目,"0",,,"855","408","447","348","14",185931.746,98089.379
"14204002005","3","142040020",鎌倉市,浄明寺５丁目,"0",,,"601","272","329","228","14",189275.020,19290.720
"14366008002","3","143660080",足柄上郡開成町,吉田島（河原町）,"0",,,"523","256","267","194","14",392443.621,14150.154
"14211074000","3","142110740",秦野市,千村,"2","0710",,"6","2","4","3","14",374779.552,225625.183
"143840060","2","14384",足柄下郡湯河原町,鍛冶屋,"0",,,"3702","1730","1972","1416","14",9525837.716,7393731.932
"143820020","2","14382",足柄下郡箱根町,宮城野,"0",,,"1693","801","892","772","14",7340598.792,1934003.772
"142140200","2","14214",伊勢原市,上粕屋,"0",,,"7041","3450","3591","3074","14",4311394.793,28008.930
"144020010","2","14402",愛甲郡清川村,煤ケ谷,"0",,,"3014","1541","1473","1042","14",38715558.992,31943939.276
"142061190","2","14206",小田原市,石橋,"0",,,"224","108","116","82","14",1183781.432,562719.734
"141510420","2","14151",相模原市緑区,寸沢嵐,"0",,,"3042","1575","1467","1103","14",10603445.134,4185694.457
"142110780","2","14211",秦野市,八沢,"0",,,"282","142","140","99","14",2197671.437,58686.634
"142061300","2","14206",小田原市,上町,"0",,,"208","103","105","70","14",1485201.282,1141024.632
"142060950","2","14206",小田原市,曽我岸,"0",,,"830","406","424","141","14",578909.379,342707.247
"141510240","2","14151",相模原市緑区,葉山島,"0",,,"318","159","159","110","14",3196240.879,352747.898
"143620070","2","14362",足柄上郡大井町,柳,"0",,,"113","54","59","35","14",1041172.942,701880.100
"142110490","2","14211",秦野市,戸川,"0",,,"7362","3725","3637","2581","14",2039835.939,81242.125
"142110750","2","14211",秦野市,菖蒲,"0",,,"1225","629","596","465","14",1878634.892,81992.509
"142061270","2","14206",小田原市,前川,"0",,,"3740","1844","1896","1577","14",1567284.413,691560.927
"141377300","2","14137",川崎市麻生区,岡上,"0",,,"6717","3442","3275","3204","14",1450006.535,72869.556
"141080720","2","14108",横浜市金沢区,水面,"0",,,"0","0","0","0","14",7806419.413,147538.102
"143820010","2","14382",足柄下郡箱根町,仙石原,"0",,,"3611","1760","1851","1643","14",22101687.971,17071570.111
"143660020","2","14366",足柄上郡開成町,金井島,"0",,,"1159","508","651","268","14",1189340.143,76641.957
"14137704003","3","141377040",川崎市麻生区,向原３丁目,"0",,,"1038","518","520","369","14",136590.366,9745.272
"14217025033","3","142170250",南足柄市,塚原,"0",,,"3804","1797","2007","1505","14",924014.268,5524.936
"14201071102","3","142010711",横須賀市,東浦賀２丁目,"0",,,"1060","521","539","433","14",205715.006,672.401
